covered,criteria
t,"Some valid criteria for a child for an old update
over multiple lines~`!@#$%^&*()_-+={[}]|:;""'<,>.?/"
t,"Some valid criteria for a child for a new update
over multiple lines~`!@#$%^&*()_-+={[}]|:;""'<,>.?/"
f,Criteria for a stand-alone URL
t,Criteria for a stand-alone URL with many company presence for drug 3
t,Criteria for a stand-alone URL with many company presence for drug 4
t,Criteria for a stand-alone URL with many company presence for drug 3
t,Criteria for a stand-alone URL with many company presence for drug 4
t,"Some valid criteria for a parent for an old update
over multiple lines~`!@#$%^&*()_-+={[}]|:;""'<,>.?/"
t,Criteria for a stand-alone URL with many company presence for drug 5
t,Criteria for a stand-alone URL with many company presence for drug 5
t,"Zelboraf

Covered Uses 
ALL FDA APPROVED INDICATIONS NOT OTHERWISE EXCLUDED FROM PART D. 

Exclusion Criteria 

Required Medical Information 

Age Restrictions

Prescriber Restrictions 

Coverage Duration 
12 MONTHS

Other Criteria"
t,"Cotellic

Covered Uses 
ALL FDA APPROVED INDICATIONS NOT OTHERWISE EXCLUDED FROM PART D. 

Exclusion Criteria 

Required Medical Information 

Age Restrictions 

Prescriber Restrictions 

Coverage Duration 
12 MONTHS

Other Criteria"
t,"Tafinlar

Covered Uses 
ALL FDA APPROVED INDICATIONS NOT OTHERWISE EXCLUDED FROM PART D. 

Exclusion Criteria 

Required Medical Information 

Age Restrictions 

Prescriber Restrictions 

Coverage Duration 
12 MONTHS

Other Criteria"
t,"Zelboraf

Covered Uses 
ALL FDA APPROVED INDICATIONS NOT OTHERWISE EXCLUDED FROM PART D. 

Exclusion Criteria 

Required Medical Information 

Age Restrictions 

Prescriber Restrictions 

Coverage Duration 
12 MONTHS

Other Criteria"
t,"Covered Uses
ALL FDA APPROVED INDICATIONS NOT OTHERWISE EXCLUDED FROM PART D.

Exclusion Criteria
 
Required Medical Information
 
Age Restrictions
 
Prescriber Restrictions
 
Coverage Duration
12 MONTHS

Other Criteria"
t,"Coverage is provided for the treatment of the FDA approved indications.

(Note: Coverage also may be provided if the member is enrolled in a Phase II-IV investigative study and documentation of enrollment and study approval by an appropriate investigational review board (IRB) is submitted to the plan.)"
t,"Covered Uses
ALL FDA APPROVED INDICATIONS NOT OTHERWISE EXCLUDED FROM PART D.

Exclusion Criteria
 
Required Medical Information
 
Age Restrictions
 
Prescriber Restrictions
 
Coverage Duration
12 MONTHS

Other Criteria"
t,"Zelboraf

Covered Uses 
ALL FDA APPROVED INDICATIONS NOT OTHERWISE EXCLUDED FROM PART D. 

Exclusion Criteria

Required Medical Information 

Age Restrictions

Prescriber Restrictions 

Coverage Duration 
12 MONTHS

Other Criteria"
t,"Drug Names 
MEKTOVI

Covered Uses 
All FDA-approved indications not otherwise excluded from Part D.

Exclusion Criteria

Required Medical Information

Age Restrictions

Prescriber Restrictions

Coverage Duration 
Plan Year

Other Criteria"
t,"Mekinist
Criteria for coverage as follows:
• FDA approved indications, off label use will be covered when there is an NCCN supported indication with a recommendation of class 2A or greater. 
• Patient must have BRAF V600E/K mutation.
• Must be written by an oncologist."
t,"Coverage is provided for the treatment of the FDA approved indications.

(Note: Coverage also may be provided if the member is enrolled in a Phase II-IV investigative study and documentation of enrollment and study approval by an appropriate investigational review board (IRB) is submitted to the plan.)"
t,"Cotellic
Criteria for coverage as follows:
• FDA approved indications, off label use will be covered when there is an NCCN supported indication with a recommendation of class 2A or greater. 
• Must be prescribed by Oncologist.
• Must be used in combination with Zelboraf."
t,"Tafinlar

Criteria for coverage as follows:
• FDA approved indications, off label use will be covered when there is an NCCN supported indication with a recommendation of class 2A or greater. 
• Patient must have BRAF V600E/K mutation.
• Must be written by an oncologist."
t,"Zelboraf

Criteria for coverage as follows:
• FDA approved indications, off label use will be covered when there is an NCCN supported indication with a recommendation of class 2A or greater. 
• Patient must have BRAF V600E/K mutation.
• Must be written by an oncologist."
t,"Drug Names 
COTELLIC

Covered Uses 
All FDA-approved indications not otherwise excluded from Part D.

Exclusion Criteria

Required Medical Information

Age Restrictions

Prescriber Restrictions

Coverage Duration 
Plan Year

Other Criteria"
t,"Tafinlar

Criteria for coverage as follows:
• FDA approved indications, off label use will be covered when there is an NCCN supported indication with a recommendation of class 2A or greater. 
• Patient must have BRAF V600E/K mutation.
• Must be written by an oncologist."
t,"Zelboraf

Criteria for coverage as follows:
• FDA approved indications, off label use will be covered when there is an NCCN supported indication with a recommendation of class 2A or greater. 
• Patient must have BRAF V600E/K mutation.
• Must be written by an oncologist."
t,"Cotellic

Covered Uses 
All FDA-approved indications not otherwise excluded from Part D.

Exclusion Criteria 
N/A

Required Medical Information 
Melanoma initial - must have BRAF V600 mutation.

Age Restrictions 
N/A

Prescriber Restrictions 
N/A

Coverage Duration 
3 years

Other Criteria 
Melanoma - being prescribed in combination with Zelboraf"
t,N/A
t,"Covered uses All medically accepted indications not otherwise excluded from Part D.
 Exclusion criteria None
 Required med info None
 Age restrictions None
 Prescriber restrictions None
 Coverage duration One Year
 Other criteria None"
